ID,NAME,SOURCE,STYLE,TYPE,LVL,MVL,FILTER,OPERATION,REPLACE,SKIP_GRID_FILTER
1,바다,DT_SEA,2,polygon,0,1,,,,
2,등고레벨1,MD_TERRAIN_POLY_401,71,polygon,0,1,,,,
3,공장구역,DT_AREA_POLY_502,4,polygon,0,1,,,,
4,해수욕장구역,DT_AREA_POLY_521,5,polygon,0,1,,,,
5,백사장구역,DT_AREA_POLY_522,6,polygon,0,1,,,,
6,녹지구역,DT_AREA_POLY_504,7,polygon,0,1,,,,
7,아파트구역,DT_AREA_POLY_503,8,polygon,0,1,,,,
8,스키장구역,DT_AREA_POLY_517,9,polygon,0,1,,,,
9,스키장슬로프,DT_AREA_POLY_518,10,polygon,0,1,,,,
10,놀이공원구역,DT_AREA_POLY_505,11,polygon,0,1,,,,
11,골프장구역,DT_GOLF_POLY_601,12,polygon,0,1,,,,
12,도심공원구역,DT_AREA_POLY_506,13,polygon,0,1,,,,
13,대단지구역,DT_AREA_POLY_513,14,polygon,0,1,,,,
14,사적지구역,DT_AREA_POLY_524,15,polygon,0,1,,,,
15,일반단지구역,DT_AREA_POLY_514,16,polygon,0,1,,,,
16,일반공원구역,DT_AREA_POLY_507,17,polygon,0,1,,,,
17,대학교구역,DT_AREA_POLY_508,18,polygon,0,1,,,,
18,학교구역,DT_AREA_POLY_509,19,polygon,0,1,,,,
19,병원구역,DT_AREA_POLY_510,20,polygon,0,1,,,,
20,관공서구역,DT_AREA_POLY_511,21,polygon,0,1,,,,
21,휴게소구역,DT_AREA_POLY_516,22,polygon,0,1,,,,
22,실외골프연습장구역,DT_GOLF_POLY_608,23,polygon,0,1,,,,
23,ij구역,DT_AREA_POLY_512,24,polygon,0,1,,,,
24,대단지내녹지구역,DT_AREA_POLY_519,25,polygon,0,1,,,,
25,대단지내시설구역,DT_AREA_POLY_520,26,polygon,0,1,,,,
26,기타건물,DT_BLD_POLY_702,41,polygon,0,1,,,,
27,소형일반건물,DT_BLD_POLY_703,42,polygon,0,0,,,,
28,중형일반건물,DT_BLD_POLY_704,43,polygon,0,0,,,,
29,대형일반건물,DT_BLD_POLY_705,44,polygon,0,1,,,,
30,아파트건물,DT_BLD_POLY_707,46,polygon,0,1,,,,
31,연립주택,DT_BLD_POLY_706,45,polygon,0,1,,,,
32,골프장오비,DT_GOLF_POLY_602,27,polygon,0,1,,,,
33,하천 경계,DT_WATER_POLY_309,3,polygon,0,1,,,,
34,골프장페어,DT_GOLF_POLY_603,28,polygon,0,1,,,,
35,골프장그린,DT_GOLF_POLY_604,29,polygon,0,1,,,,
36,골프장티,DT_GOLF_POLY_605,30,polygon,0,1,,,,
37,골프장벙커,DT_GOLF_POLY_606,31,polygon,0,1,,,,
38,주차장구역,DT_AREA_POLY_515,32,polygon,0,1,,,,
39,실폭하천,DT_WATER_POLY_311,33,polygon,0,1,,,,
40,호수저수지,DT_WATER_POLY_312,34,polygon,0,1,,,,
41,수계시설,DT_WATER_POLY_313,35,polygon,0,1,,,,
42,골프장호수,DT_GOLF_POLY_607,36,polygon,0,1,,,,
43,세부부지내도로2,DT_ROAD_POLY_113,37,polygon,0,1,,,,
44,주요부지내도로1,DT_ROAD_POLY_112,38,polygon,0,1,,,,
45,어린이보호구역,DT_AREA_POLY_523,69,polygon,0,1,,,,
46,진입로,DT_ROAD_POLY_114,39,polygon,0,1,,,,
47,단독건물,DT_BLD_POLY_701,40,polygon,0,0,,,,
48,주상복합,DT_BLD_POLY_708,47,polygon,0,1,,,,
49,상가,DT_BLD_POLY_709,48,polygon,0,1,,,,
50,병원,DT_BLD_POLY_710,49,polygon,0,1,,,,
51,호텔,DT_BLD_POLY_711,50,polygon,0,1,,,,
52,대학교,DT_BLD_POLY_712,51,polygon,0,1,,,,
53,학교,DT_BLD_POLY_713,52,polygon,0,1,,,,
54,관공서,DT_BLD_POLY_714,53,polygon,0,1,,,,
55,사적지건물,DT_BLD_POLY_717,54,polygon,0,1,,,,
56,클럽하우스,DT_GOLF_POLY_609,55,polygon,0,1,,,,
57,골목길,DT_ROAD_POLY_111,111,polygon,0,1,,,,
58,세도로,DT_ROAD_POLY_110,110,polygon,0,1,,,,
59,기타도로,DT_ROAD_POLY_109,109,polygon,0,1,,,,
60,일반도로,DT_ROAD_POLY_107,107,polygon,0,1,,,,
61,주요간선도로,DT_ROAD_POLY_105,105,polygon,0,1,,,,
62,지방도,DT_ROAD_POLY_104,104,polygon,0,1,,,,
63,국도,DT_ROAD_POLY_103,103,polygon,0,1,,,,
64,도시고속화도로,DT_ROAD_POLY_102,102,polygon,0,1,,,,
65,고속도로,DT_ROAD_POLY_101,101,polygon,0,1,,,,
66,터널,DT_ROADEXT_POLY_801,56,polygon,0,1,,,,
67,지하차도,DT_ROADEXT_POLY_804,57,polygon,0,1,,,,
68,일반교량,DT_ROADEXT_POLY_803,58,polygon,0,1,,,,
69,주요교량,DT_ROADEXT_POLY_802,59,polygon,0,1,,,,
70,고가차도,DT_ROADEXT_POLY_805,60,polygon,0,1,,,,
71,횡단보도,DT_FACIL_POLY_904,61,polygon,0,1,,,,
72,인도,DT_FACIL_POLY_901,62,polygon,0,1,,,,
73,육교,DT_FACIL_POLY_903,63,polygon,0,1,,,,
74,안전지대,DT_FACIL_POLY_905,64,polygon,0,1,,,,
75,중앙분리대,DT_FACIL_POLY_906,65,polygon,0,1,,,,
76,입체도로,DT_ROADEXT_POLY_809,67,polygon,0,1,,,,
77,톨게이트건물,DT_BLD_POLY_715,68,polygon,0,1,,,,
118,신림선,DT_TRAINSTATION_POLY_1339,839,polygon,0,1,,,,
78,인천자기부상철도,DT_TRAINSTATION_POLY_1338,838,polygon,0,1,,,,
79,김포도시철도,DT_TRAINSTATION_POLY_1337,837,polygon,0,1,,,,
80,서해선,DT_TRAINSTATION_POLY_1336,836,polygon,0,1,,,,
81,동해선,DT_TRAINSTATION_POLY_1335,835,polygon,0,1,,,,
82,우이신설선,DT_TRAINSTATION_POLY_1334,834,polygon,0,1,,,,
83,경강선,DT_TRAINSTATION_POLY_1333,833,polygon,0,1,,,,
84,인천2호선,DT_TRAINSTATION_POLY_1332,832,polygon,0,1,,,,
85,대구3호선,DT_TRAINSTATION_POLY_1331,831,polygon,0,1,,,,
86,의정부경전철,DT_TRAINSTATION_POLY_1330,830,polygon,0,1,,,,
87,부산김해경전철,DT_TRAINSTATION_POLY_1329,829,polygon,0,1,,,,
88,수인선,DT_TRAINSTATION_POLY_1328,828,polygon,0,1,,,,
89,경의선,DT_TRAINSTATION_POLY_1327,827,polygon,0,1,,,,
90,부산4호선,DT_TRAINSTATION_POLY_1326,826,polygon,0,1,,,,
91,경춘선,DT_TRAINSTATION_POLY_1325,825,polygon,0,1,,,,
92,용인경전철,DT_TRAINSTATION_POLY_1324,824,polygon,0,1,,,,
93,대전1호선,DT_TRAINSTATION_POLY_1323,823,polygon,0,1,,,,
94,광주1호선,DT_TRAINSTATION_POLY_1322,822,polygon,0,1,,,,
95,대구2호선,DT_TRAINSTATION_POLY_1321,821,polygon,0,1,,,,
96,대구1호선,DT_TRAINSTATION_POLY_1320,820,polygon,0,1,,,,
97,부산3호선,DT_TRAINSTATION_POLY_1319,819,polygon,0,1,,,,
98,부산2호선,DT_TRAINSTATION_POLY_1318,818,polygon,0,1,,,,
99,부산1호선,DT_TRAINSTATION_POLY_1317,817,polygon,0,1,,,,
100,인천1호선,DT_TRAINSTATION_POLY_1316,816,polygon,0,1,,,,
101,신분당선,DT_TRAINSTATION_POLY_1315,815,polygon,0,1,,,,
102,분당선,DT_TRAINSTATION_POLY_1314,814,polygon,0,1,,,,
103,서울9호선,DT_TRAINSTATION_POLY_1313,813,polygon,0,1,,,,
104,서울8호선,DT_TRAINSTATION_POLY_1312,812,polygon,0,1,,,,
105,서울7호선,DT_TRAINSTATION_POLY_1311,811,polygon,0,1,,,,
106,서울6호선,DT_TRAINSTATION_POLY_1310,810,polygon,0,1,,,,
107,서울5호선,DT_TRAINSTATION_POLY_1309,809,polygon,0,1,,,,
108,서울4호선,DT_TRAINSTATION_POLY_1308,808,polygon,0,1,,,,
109,서울3호선,DT_TRAINSTATION_POLY_1307,807,polygon,0,1,,,,
110,서울2호선,DT_TRAINSTATION_POLY_1306,806,polygon,0,1,,,,
111,서울1호선,DT_TRAINSTATION_POLY_1305,805,polygon,0,1,,,,
112,중앙선,DT_TRAINSTATION_POLY_1304,804,polygon,0,1,,,,
113,기차철도,DT_TRAINSTATION_POLY_1303,803,polygon,0,1,,,,
114,공항철도,DT_TRAINSTATION_POLY_1302,802,polygon,0,1,,,,
1473,GTX-A,DT_TRAINSTATION_POLY_1340,800,polygon,0,1,,,,
115,고속철도,DT_TRAINSTATION_POLY_1301,801,polygon,0,1,,,,
0,도경계,DT_BOUND_LINE_1003,120,line,0,1,,,,
0,시경계,DT_BOUND_LINE_1004,121,line,0,1,,,,
0,구군경계,DT_BOUND_LINE_1005,122,line,0,1,,,,
116,도로중앙선,DT_FACIL_LINE_907,124,line,0,0,,,,
